,Station_Name,ioc_code,gloss_id,latitude,longitude,Country,connection,contacts,dcp_id,last_observation_level,last_observation_time,delay,interval,added_to_system,observations_arrived_per_week,observations_expected_per_week,observations_ratio_per_week,observations_arrived_per_month,observations_expected_per_month,observations_ratio_per_month,observations_ratio_per_day,sample_interval,average_delay_per_day,transmit_interval,ioc_id,nws_id,state,status,removed,nos_id,coops_id,PLATFORM_CODE,INSTITUTION,INSTITUTION_EDMO_CODE,cmems_id,Unnamed: 0,EP_PLATFORM_ID,EP_PLATFORM_TYPE,EP_PLATFORM_LINK,TIME_QC (1),SLEV_QC (1),SLEV_DM,site_code,platform_code,platform_name,pi_name,area,author,source,contributor_name,contributor_url,data_assembly_center,institution_edmo_code,institution_references,institution,wmo_platform_code,emodnet_id,filename,contributor_abbreviated,contributor_full,contributor_website,contributor_contact,orginator,originator_website,originator_contact,coordinate_system,start_date_time,end_date_time,number_of_years,time_zone_hours,datum_information,instrument,precision,null_value,gauge_type,overall_record_quality,gesla3_id,seaset_id
0,Lobito,,,-12.333,13.558,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237A,,,,,,,,,,,,,,,lobito-237a-ago-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Instituto Hidrografico (IH)  Orgao da Marinha Portuguesa  Portugal ,Unspecified,Unspecified,Unspecified,1971-05-31 23:00:00,1975-12-31 22:00:00,5.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Lobito,0
1,Luanda,,,-8.787,13.237,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236A,,,,,,,,,,,,,,,luanda-236a-ago-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Instituto Hidrografico (IH)  Orgao da Marinha Portuguesa  Portugal ,Unspecified,Unspecified,Unspecified,1972-01-01 00:00:00,1975-06-30 22:00:00,4.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Luanda,1
2,Mocamedes,,,-15.192,12.145,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238A,,,,,,,,,,,,,,,mocamedes-238a-ago-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Instituto Hidrografico (IH)  Orgao da Marinha Portuguesa  Portugal ,Unspecified,Unspecified,Unspecified,1971-06-30 23:00:00,1975-05-13 22:00:00,5.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Mocamedes,2
3,Buenos_Aires,,,-34.667,-58.5,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285A,,,,,,,,,,,,,,,buenos_aires-285a-arg-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,Unspecified,1905-01-01 04:00:00,1961-12-31 23:00:00,57.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,Possible quality control issues,Buenos_Aires,3
4,Dallmann,,,-62.233,-58.683,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682C,,,,,,,,,,,,,,,dallmann-682c-arg-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Alfred Wegener Institute  Germany ,Unspecified,Unspecified,Unspecified,1998-01-24 17:00:00,1999-04-16 15:00:00,2.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Dallmann,4
5,Esperanza,,,-63.395,-56.995,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601A,,,,,,,,,,,,,,,esperanza-601a-arg-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,Unspecified,1996-01-17 17:00:00,1998-08-31 08:00:00,3.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Esperanza,5
6,Mar_del_Plata,,,-38.035,-57.53,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729B,,,,,,,,,,,,,,,mar_del_plata-729b-arg-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,Unspecified,Unspecified,Unspecified,2010-03-24 01:00:00,2018-12-31 23:00:00,9.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Mar_del_Plata,6
7,Puerto_Deseado,,,-47.753,-65.915,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286B,,,,,,,,,,,,,,,puerto_deseado-286b-arg-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,Unspecified,Unspecified,Unspecified,2010-03-17 02:00:00,2018-12-31 23:00:00,9.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Puerto_Deseado,7
8,Puerto_Madryn,,,-42.763,-65.03,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731A,,,,,,,,,,,,,,,puerto_madryn-731a-arg-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,Unspecified,Unspecified,Unspecified,2010-03-14 03:00:00,2018-12-31 23:00:00,9.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Puerto_Madryn,8
9,San_Martin,,,-68.133,-67.1,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681C,,,,,,,,,,,,,,,san_martin-681c-arg-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Alfred Wegener Institute  Germany ,Unspecified,Unspecified,Unspecified,1998-02-09 17:00:00,1999-02-09 23:00:00,2.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,San_Martin,9
10,Pago_Pago,,,-14.283,-170.683,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,056A,,,,,,,,,,,,,,,pago_pago-056a-asm-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,Unspecified,1948-09-08 11:00:00,2018-12-31 23:00:00,71.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Pago_Pago,10
11,Dumont_dUrville,,,-66.662,140.01,ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189A,,,,,,,,,,,,,,,dumont_durville-189a-ata-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Service d'Observation ROSAME  Laboratoire d'Etudes en Geophysique et Oceanographie Spatiales (LEGOS)  Observatoire Midi-Pyrenees (OMP)  France ,Unspecified,Unspecified,Unspecified,2008-01-16 07:00:00,2010-08-19 20:00:00,3.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Dumont_dUrville,11
12,Faraday,,,-65.25,-64.267,ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700A,,,,,,,,,,,,,,,faraday-700a-ata-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Oceanography Centre (NOC)  United Kingdom ,Unspecified,Unspecified,Unspecified,1959-10-15 00:00:00,2018-12-31 23:00:00,48.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Faraday,12
