,Station_Name,ioc_code,gloss_id,latitude,longitude,Country,connection,contacts,dcp_id,last_observation_level,last_observation_time,delay,interval,added_to_system,observations_arrived_per_week,observations_expected_per_week,observations_ratio_per_week,observations_arrived_per_month,observations_expected_per_month,observations_ratio_per_month,observations_ratio_per_day,sample_interval,average_delay_per_day,transmit_interval,ioc_id,nws_id,state,status,removed,nos_id,coops_id,PLATFORM_CODE,INSTITUTION,INSTITUTION_EDMO_CODE,cmems_id,Unnamed: 0,EP_PLATFORM_ID,EP_PLATFORM_TYPE,EP_PLATFORM_LINK,TIME_QC (1),SLEV_QC (1),SLEV_DM,site_code,platform_code,platform_name,pi_name,area,author,source,contributor_name,contributor_url,data_assembly_center,institution_edmo_code,institution_references,institution,wmo_platform_code,emodnet_id,filename,contributor_abbreviated,contributor_full,contributor_website,contributor_contact,orginator,originator_website,originator_contact,coordinate_system,start_date_time,end_date_time,number_of_years,time_zone_hours,datum_information,instrument,precision,null_value,gauge_type,overall_record_quality,gesla3_id,seaset_id
2778,Scott_Base,,,-77.85,166.767,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663A,,,,,,,,,,,,,,,scott_base-663a-nzl-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Institute of Water and Atmospheric Research (NIWA)  New Zealand ,Unspecified,Unspecified,Unspecified,2001-01-15 09:00:00,2017-06-13 12:00:00,14.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Scott_Base,2778
14,Syowa_Station_Antarctica,,,-69.00778333,39.57028333,ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD50,,,,,,,,,,,,,,,syowa_station_antarctica-hd50-ata-jodc_jcg,JODC_JCG,Japan Oceanographic Data Center,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,Japan Coast Guard,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,Unspecified,1986-12-31 21:00:00,2019-12-31 20:00:00,33.0,0.0,Zero of Tide Height,Float,Unspecified,-99.9999,Coastal,Possible datum issues,Syowa_Station_Antarctica,14
13,Syowa_Antarctica,,,-69.0,39.6,ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127A,,,,,,,,,,,,,,,syowa_antarctica-127a-ata-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Japan Oceanographic Data Center  Japan ,Unspecified,Unspecified,Unspecified,1987-01-31 21:00:00,2015-12-31 20:00:00,29.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Syowa_Antarctica,13
44,Davis,,,-68.45,77.967,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173A,,,,,,,,,,,,,,,davis-173a-aus-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Tidal Centre (NTC)  Bureau of Meteorology (BOM)  Australia ,Unspecified,Unspecified,Unspecified,1993-04-22 09:00:00,2010-01-28 08:00:00,18.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Davis,44
9,San_Martin,,,-68.133,-67.1,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681C,,,,,,,,,,,,,,,san_martin-681c-arg-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Alfred Wegener Institute  Germany ,Unspecified,Unspecified,Unspecified,1998-02-09 17:00:00,1999-02-09 23:00:00,2.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,San_Martin,9
80,Mawson,,,-67.6,62.867,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177A,,,,,,,,,,,,,,,mawson-177a-aus-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Tidal Centre (NTC)  Bureau of Meteorology (BOM)  Australia ,Unspecified,Unspecified,Unspecified,1992-01-05 17:00:00,2009-12-21 09:00:00,18.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Mawson,80
133,Rothera,rothe,342,-67.567,-68.133,Antarctica,SEMS40,British Antartic Survey ( UK ) +National Oceanography Centre ( UK ),6B000D98,1.51,10:23,5',15',2015-11-25 17:22:59,9960,10080.0,99.0,41370,41760.0,99.0,100.0,1',3',15',Rothera,,,,,,,,,,,,,,,,,,832A,,,,,,,,,,,,,,,rothera-832a-gbr-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Oceanography Centre (NOC)  United Kingdom ,Unspecified,Unspecified,Unspecified,2002-12-23 19:00:00,2018-09-06 07:00:00,17.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Rothera,133
1599,Dumont_D_Urville,,,-66.661668,140.010001,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,dumont_d_urville-108-fra-refmar,REFMAR,Réseaux de référence des observations marégraphiques (Reference networks for tidal observations),http://refmar.shom.fr/en,refmar@shom.fr,Réseaux de référence des observations marégraphiques (Reference networks for tidal observations),http://refmar.shom.fr/en,refmar@shom.fr,Unspecified,1952-05-01 15:00:00,2000-03-02 05:00:00,8.0,0.0,Zero Hydrographique,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Dumont_D_Urville,1599
132,Dumont d'Urville,dumo,131,-66.652,140.002,Antarctica,ftp,Laboratoire d'Etudes en Géophysique et Océanographie Spatiales ( France ),,5.37,04:20,6h,4h,2008-07-06 00:00:00,504,504.0,100.0,2088,2088.0,100.0,100.0,20',180',4h,Dumont d'Urville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132
36,Casey,,,-66.283,110.533,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130A,,,,,,,,,,,,,,,casey-130a-aus-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Tidal Centre (NTC)  Bureau of Meteorology (BOM)  Australia ,Unspecified,Unspecified,Unspecified,1996-01-08 05:00:00,2008-11-16 22:00:00,12.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Casey,36
12,Faraday,,,-65.25,-64.267,ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700A,,,,,,,,,,,,,,,faraday-700a-ata-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Oceanography Centre (NOC)  United Kingdom ,Unspecified,Unspecified,Unspecified,1959-10-15 00:00:00,2018-12-31 23:00:00,48.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Faraday,12
5,Esperanza,,,-63.395,-56.995,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601A,,,,,,,,,,,,,,,esperanza-601a-arg-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,Unspecified,1996-01-17 17:00:00,1998-08-31 08:00:00,3.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Esperanza,5
138,Bahia Esperanza AR,espr,185,-63.33,-56.917,Argentina,XXXXXX,Armada Argentina Servicio de Hidrografía Naval ( Argentina ) +University of Hawaii Sea Level Center ( USA ),334D4708,,-down-,,1h,2006-06-07 04:30:00,-down-,,0.0,-down-,,0.0,0.0,',,1h,Bahia Esperanza AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138
