,id,ioc_code,Country,type,DCP_ID,WMO,XMtInt,latitude,longitude,Har,gloss_id,OT12Code,Example,UTCOffset,OperatorID,status,status_description,localoperator,performanceoperator1,performanceoperator2,performanceoperator3,date_created,url,code,sensorid,statday,observations,first,last,updatedata,timestampdata,timestampupdate,sensor,rate,samples,units,i,offset,timeorder,lasttime,lastupdate,lastvalue,connect,countryname,nws_id,state,removed,PLATFORM_CODE,INSTITUTION,INSTITUTION_EDMO_CODE,Unnamed: 0,EP_PLATFORM_ID,EP_PLATFORM_TYPE,EP_PLATFORM_LINK,TIME_QC (1),SLEV_QC (1),SLEV_DM,site_code,platform_code,platform_name,pi_name,area,author,source,contributor_name,contributor_url,data_assembly_center,institution_edmo_code,institution_references,institution,wmo_platform_code,filename,contributor_abbreviated,contributor_full,contributor_website,contributor_contact,orginator,originator_website,originator_contact,coordinate_system,start_date_time,end_date_time,number_of_years,time_zone_hours,datum_information,instrument,precision,null_value,gauge_type,overall_record_quality,Location
0,GESLA-scott_base-663a-nzl-uhslc,,NZL,,,,,-77.85,166.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663A,,,,,,,,,,,,,,scott_base-663a-nzl-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Institute of Water and Atmospheric Research (NIWA)  New Zealand ,Unspecified,Unspecified,Unspecified,2001-01-15 09:00:00,2017-06-13 12:00:00,14.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Scott_Base
1,IOC-syow,syow,ANT,SW,,,60.0,-69.007778,39.570278,0.0,95,,,0.0,,1,,72.0,,,,2008-08-03 21:00:00.000,,syow,911.0,2023-09-07 05:16:00,276.0,2023-09-06 05:20:00,2023-09-07 05:15:00,68.0,68.0,0.0,prs,5.0,12.0,M,,,1.0,2023-09-08 06:55:00.000,2023-09-08 08:00:07.000,12.0,SW,Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syowa
2,GESLA-syowa_antarctica-127a-ata-uhslc,,ATA,,,,,-69.0,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127A,,,,,,,,,,,,,,syowa_antarctica-127a-ata-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Japan Oceanographic Data Center  Japan ,Unspecified,Unspecified,Unspecified,1987-01-31 21:00:00,2015-12-31 20:00:00,29.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Syowa_Antarctica
3,GESLA-davis-173a-aus-uhslc,,AUS,,,,,-68.45,77.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173A,,,,,,,,,,,,,,davis-173a-aus-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Tidal Centre (NTC)  Bureau of Meteorology (BOM)  Australia ,Unspecified,Unspecified,Unspecified,1993-04-22 09:00:00,2010-01-28 08:00:00,18.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Davis
4,GESLA-san_martin-681c-arg-uhslc,,ARG,,,,,-68.133,-67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681C,,,,,,,,,,,,,,san_martin-681c-arg-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Alfred Wegener Institute  Germany ,Unspecified,Unspecified,Unspecified,1998-02-09 17:00:00,1999-02-09 23:00:00,2.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,San_Martin
5,GESLA-mawson-177a-aus-uhslc,,AUS,,,,,-67.6,62.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177A,,,,,,,,,,,,,,mawson-177a-aus-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Tidal Centre (NTC)  Bureau of Meteorology (BOM)  Australia ,Unspecified,Unspecified,Unspecified,1992-01-05 17:00:00,2009-12-21 09:00:00,18.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Mawson
6,GESLA-rothera-832a-gbr-uhslc,rothe,ANT,SL,6B000D98,SEMS40,15.0,-67.5667,-68.1333,,342,,":RAD 1 #1 2199 2201 2202 2203 2203 2205 2206 2207 2208 2210 1893 1893 1890 1882 1875 :PR1 1 #1 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 :PR2 1 #1 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 :TM1 1 #15 00.0 :TM2 1 #15 00.0 :BAR 1 #15 993.1 :BAT 1 #15 14.2 :YN ROTHRD2PR :YD 185310
",0.0,,1,Logger changed 25/01/22 Message format changed.,69.0,53.0,,,2015-11-25 17:22:59.827,https://www.bas.ac.uk/polar-operations/sites-and-facilities/facility/rothera/,rothe,2601.0,2023-09-07 05:16:00,1395.0,2023-09-06 05:16:00,2023-09-07 05:15:00,4.0,4.0,0.0,pr1,1.0,15.0,M,,23.0,-1.0,2023-09-08 08:38:00.000,2023-09-08 08:42:02.370,1.661,SEMS40,Antarctica,,,,,,,,,,,,,,832A,,,,,,,,,,,,,,rothera-832a-gbr-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Oceanography Centre (NOC)  United Kingdom ,Unspecified,Unspecified,Unspecified,2002-12-23 19:00:00,2018-09-06 07:00:00,17.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Rothera
7,GESLA-dumont_d_urville-108-fra-refmar,,FRA,,,,,-66.661668,140.010001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,dumont_d_urville-108-fra-refmar,REFMAR,Réseaux de référence des observations marégraphiques (Reference networks for tidal observations),http://refmar.shom.fr/en,refmar@shom.fr,Réseaux de référence des observations marégraphiques (Reference networks for tidal observations),http://refmar.shom.fr/en,refmar@shom.fr,Unspecified,1952-05-01 15:00:00,2000-03-02 05:00:00,8.0,0.0,Zero Hydrographique,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Dumont_D_Urville
8,IOC-dumo,dumo,ANT,SF,,,240.0,-66.651944,140.001667,0.0,131,,,0.0,,1,,33.0,,,,2008-07-06 00:00:00.000,http://www.legos.obs-mip.fr/en/share/soa/cgi/getobs/v0.2a/index.pl.cgi?contexte=ROSAME&donnees=MRG&suivi=TPS-REEL&env=COTIER&menu=DOC&option=ACCES,,,,,,,,,,,,,,,,,2023-09-08 03:20:00.000,2023-09-08 08:15:14.000,5.0503,SF,Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dumont d'Urville
9,GESLA-casey-130a-aus-uhslc,,AUS,,,,,-66.283,110.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130A,,,,,,,,,,,,,,casey-130a-aus-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Tidal Centre (NTC)  Bureau of Meteorology (BOM)  Australia ,Unspecified,Unspecified,Unspecified,1996-01-08 05:00:00,2008-11-16 22:00:00,12.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Casey
10,GESLA-faraday-700a-ata-uhslc,,ATA,,,,,-65.25,-64.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700A,,,,,,,,,,,,,,faraday-700a-ata-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Oceanography Centre (NOC)  United Kingdom ,Unspecified,Unspecified,Unspecified,1959-10-15 00:00:00,2018-12-31 23:00:00,48.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Faraday
11,GESLA-esperanza-601a-arg-uhslc,,ARG,,,,,-63.395,-56.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601A,,,,,,,,,,,,,,esperanza-601a-arg-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,Unspecified,1996-01-17 17:00:00,1998-08-31 08:00:00,3.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Esperanza
