,EP_PLATFORM_ID,EP_PLATFORM_TYPE,EP_PLATFORM_CODE,EP_PLATFORM_LINK,TIME_QC (1),latitude (degrees_north),longitude (degrees_east),SLEV_QC (1),SLEV_DM,site_code,platform_code,platform_name,pi_name,area,author,source,contributor_name,contributor_url,data_assembly_center,institution_edmo_code,institution_references,institution,wmo_platform_code
0,8397,TG,AjaccioTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8397,1,41.9227,8.7629,1,\u0000,,AjaccioTG,Ajaccio,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
4161396,8397,TG,AjaccioTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8397,1,41.9227,8.7629,0,\u0000,,AjaccioTG,Ajaccio,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
4540215,8397,TG,AjaccioTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8397,1,41.9227,8.7629,4,\u0000,,AjaccioTG,Ajaccio,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
5056884,8397,TG,AjaccioTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8397,1,41.9227,8.7629,3,\u0000,,AjaccioTG,Ajaccio,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
5864277,8425,TG,ArcachonEyracTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8425,1,44.665,-1.1635,1,\u0000,,ArcachonEyracTG,Arcachon-Eyrac,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
9814002,8425,TG,ArcachonEyracTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8425,1,44.665,-1.1635,0,\u0000,,ArcachonEyracTG,Arcachon-Eyrac,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
10188624,8425,TG,ArcachonEyracTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8425,1,44.665,-1.1635,4,\u0000,,ArcachonEyracTG,Arcachon-Eyrac,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
10544698,8425,TG,ArcachonEyracTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8425,1,44.665,-1.1635,3,\u0000,,ArcachonEyracTG,Arcachon-Eyrac,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
11550389,371096,TG,AudierneTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=371096,1,48.02155,-4.53758,1,\u0000,,AudierneTG,Audierne,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
12006635,371096,TG,AudierneTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=371096,1,48.02155,-4.53758,0,\u0000,,AudierneTG,Audierne,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
