GLOSS number,Station,Country,Responsible country,Latitude (+ve N),Longitude (+ve E)
327,Abashiri,Japan,Japan,44.01666,144.28333
257,Abidjan,Cote d'Ivoire,Cote d'Ivoire,5.25,-4.0
82,Aburatsu,Japan,Japan,31.35,131.25
182,Acajutla,El Salvador,El Salvador,13.5833,-89.83333
267,"Acapulco, Gro.",Mexico,Mexico,16.83333,-99.91666
302,"Adak, Aleutian Is.",U.S.A.,U.S.A.,51.86666,-176.63333
3,Aden,"Yemen, P.D.R.","Yemen, P.D.R.",12.78333,44.98333
37,Akyab (Sittwe),Myanmar,Myanmar,20.15,92.9
333,Alert,Canada,,82.5,-62.31666
349,Alexandria,Egypt,,31.21666,29.91666
63,Alotau,Papua New Guinea,Australia,-10.31666,150.45
68,Ambon,Indonesia,Indonesia,-3.7,128.2
228,"Ammassalik, Greenland",Denmark,Denmark,65.5,-37.0
322,Andenes,Norway,Norway,69.19,16.09
174,Antofagasta,Chile,Chile,-23.39,-70.24
149,"Apra Hbr, Guam, Marianas",U.S.A.,U.S.A.,13.43333,144.65
263,Ascension,U.K.,U.K.,-7.91666,-14.41666
220,"Atlantic City, NJ",U.S.A.,U.S.A.,39.35,-74.41666
127,Auckland-Waitemata Hbr.,New Zealand,New Zealand,-36.51,174.46
185,Bahia Esperanza,Argentina,Argentina,-63.3,-56.91666
168,Balboa,Panama,Panama,8.96666,-79.6
169,"Baltra, Galapagos Is.",Ecuador,Ecuador,-0.43333,-90.28333
231,Barentsburg (Spitsbergen),Russia,Russia,78.06666,14.25
49,Benoa,Indonesia,Indonesia,-8.73333,115.2
221,"Bermuda, St. Georges Is.",U.K.,U.S.A.,32.36666,-64.7
129,Bluff,New Zealand,New Zealand,-46.6,168.35
61,Booby Is.,Australia,Australia,-10.6,141.91666
242,Brest,France,France,48.38333,-4.5
58,Brisbane (West Inner Bar),Australia,Australia,-27.36666,153.16666
40,Broome,Australia,Australia,-18.0,122.21666
170,Buenaventura,Colombia,Colombia,3.9,-77.1
59,Burnett Heads (Bundaberg),Australia,Australia,-24.76666,152.38
214,Cabo San Antonio,Cuba,Cuba,21.9,-84.9
161,Cabo San Lucas,Mexico,Mexico,22.88333,-109.9
173,Callao (La Punta),Peru,Peru,-12.05,-77.15
