Code,GLOSS ID,Country,Location,Connection,DCP ID,Delay,TransmitInterval
abas,327,Japan,Abashiri,SWJP40,ABASHIRI,14',10'
abed,,UK,Aberdeen,ftp,,38',15'
abur,82,Japan,Aburatsu,SWJP40,ABURATSU,14',10'
acaj,182,El Salvador,Acajutla,SEMS40,50313520,7',5'
acap,267,Mexico,Acapulco,SEPA40,3540E15A,1755d,5'
acap2,267,Mexico,Acapulco API,SOMX10,0100D7CA,11',10'
acnj,220,USA,Atlantic City,web,3367B730,9',5'
acnj2,220,USA,Atlantic City,SXXX03,3367B730,10',5'
acor1,,Spain,A Coruña,ftp,,13',5'
acya,267,Mexico,Acapulco Club de Yates,ftp,,23h,10'
adak,302,USA,Adak,web,3360F60E,11',6'
adak2,302,USA,Adak,SXXX03,3360F60E,11',6'
aden,3,Yemen,Aden,SXXX33,3686B76A,1249d,15'
agal,,Mauritius,Agalega,SXXX32,3246B586,555d,15'
agua,,Puerto Rico,Aguadilla (Crash Boat),SXXX03,A4F01158,8h,6'
aigi,,Greece,Aigio,web,,5',1'
ajac,,France,Ajaccio,ftp,,11',5'
ajac2,,France,Ajaccio2,SZFR01,FR0300,12',6'
alac1,,Spain,Alicante1,ftp,,13',5'
alac2,,Spain,Alicante2,ftp,,13',5'
alak,,USA,Alitak,web,3363341E,8',5'
alak2,,USA,Alitak,SXXX03,3363341E,9',5'
alam,,USA,Alameda,web,3362E08C,12',5'
alam2,,USA,Alameda,SXXX03,3362E08C,1607d,5'
albo,,Spain,Alboran Island,ftp,,20d,5'
albu,,Portugal,Albufeira,bgan,ALBU,36d,1'
alcu,,Spain,Alcudia,ftp,,7',4'
aler,333,Canada,Alert,web,,2d,10'
alex,349,Egypt,Alexandria,SXXX32,2636F22C,2085d,15'
alex1,,Egypt,Alexandria,bgan,ALEX1,0',1'
alge,,Spain,Algeciras,ftp,,7',4'
alme,,Spain,Almeria,ftp,,7',4'
alme2,,Spain,Almería,ftp,,6',5'
alofi,,Niue,Alofi Niue,SZPS01,66570,6',3'
alva,,Mexico,Alvarado,ftp,,21',10'
alva2,,Mexico,Alvarado2,SOMX10,01014052,5d,1h
amal,,USA,Charlotte-Amalie,web,3364A348,11',6'
amal2,,USA,Charlotte-Amalie,SXXX03,3364A348,14',6'
amas,,Turkey,Amasra,web,,5',2'
ambon,68,Indonesia,Ambon,SZID40,06503AC6,5',6'
AN15,,Italy,Ancona,web,,5',5'
anch,,USA,Anchorage,web,3363B20A,14',5'
anch2,,USA,Anchorage,SXXX03,3363B20A,10',5'
ancu,,Chile,Ancud,SXCH40,ADC12228,9',10'
ancu2,,Chile,Ancud,web,,5',10'
ande,322,Norway,Andenes,web,,13',1h
anta,,Turkey,Antalya,web,,5',2'
anto,174,Chile,Antofagasta,SXCH40,ADC0F6BA,5',5'
anto2,174,Chile,Antofagasta,web,,3',5'
apfl,,USA,Apalachicola,web,3346C2B4,10',5'
apfl2,,USA,Apalachicola,SXXX03,3346C2B4,11',5'
apla,,USA,"Lawma, Amerada Pass, LA",web,334773C0,8',5'
apla2,,USA,"Lawma, Amerada Pass, LA",SXXX03,334773C0,9',5'
arac,,Puerto Rico,Arecibo,web,,13d,6'
aracS,,Puerto Rico,Arecibo (GTS),SXXX03,3366454E,12',6'
arca,,France,Arcachon Eyrac,ftp,,10',5'
arca2,,France,Arcachon Eyrac 2,SZFR01,FR190,5d,6'
aren,,USA,Arena Cove,web,3368115A,12',5'
aren2,,USA,Arena Cove,SXXX03,336AF75C,141d,5'
aric,,Chile,Arica,SXCH40,ADC0D056,6',5'
aric2,,Chile,Arica,web,,6',5'
arko,,Sweden,Arko,web,,53',1h
arrc,,Brasil,Arraial do Cabo,SEPO40,B5B007D4,69d,5'
arre,,Spain,Arrecife,ftp,,7',4'
arri,,Portugal,Arrifana,bgan,ARRI,1',1'
ascen,263,UK,Ascension,SXXX32,265C94AA,1184d,15'
ashd,,Israel,Ashdod Port,ftp,,1981d,1'
ashd1,,Israel,Ashdod Marina,bgan,ASHD1,496d,1'
ashk,,Oman,Ashkhara,SXOM33,18E447FC,862d,6'
askl,,Israel,Ashkelon,ftp,,1975d,1'
asro,,Nicaragua,Aserraderos,bgan,NI-asro-00,685d,1'
asto,,USA,Astoria,web,335086EE,9',5'
asto2,,USA,Astoria,SXXX03,335086EE,10',5'
atic,,Perú,Atico,SEPR40,9323727A,2264d,1h
atka,,USA,"Atka, AK",web,,6',5'
auct,127,New Zealand,Auckland,SZNZ01,AUCT,6',3'
audi,,France,Audierne,ftp,,9',5'
audi2,,France,Audierne 2,SZFR01,FR6305,9',6'
avon,,UK,Avonmouth Portbury,ftp,,38',15'
AZ42,,Italy,Anzio,web,,5',5'
BA05,,Italy,Bari,web,,5',5'
ball,,Ireland,"Ballyglass pier, Belmullet",ftp,,3',1h
balt,169,Ecuador,"Baltra,Galapagos",SEEQ40,932040EE,6',5'
bamd,,USA,Baltimore,web,336577DA,17',5'
bamd2,,USA,Baltimore,SXXX03,336577DA,14',5'
bame,,USA,Bar Harbor,web,336747B4,11',5'
