SSC ID,Station Name,Country_x,Latitude,Longitude,IOC code,PTWC code,GLOSS ID_x,UHSLC ID,PSMSL ID,SONEL GPS,SONEL TG,Code,GLOSS ID_y,Country_y,Location
SSC-abas,Abashiri,Japan,44.02,144.28,abas,abas,327.0,347,1104,797,2107,abas,327,Japan,Abashiri
SSC-abed,Aberdeen,United Kingdom,57.14,-2.08,abed,,,,"21, 361",617,"2185, 2735",abed,,UK,Aberdeen
SSC-abur,Aburatsu,Japan,31.58,131.41,abur,abur,82.0,354,814,806,2209,abur,82,Japan,Aburatsu
SSC-acaj,Acajutla,El Salvador,13.57,-89.84,acaj,acaj,182.0,82,"1011, 1302",,2859,acaj,182,El Salvador,Acajutla
SSC-acap,Acapulco,Mexico,16.83,-99.92,"acap, acap2, acya","acap, acya",267.0,316,686,2279,2280,acap,267,Mexico,Acapulco
SSC-acnj,Atlantic City,United States,39.36,-74.42,"acnj, acnj2",acnj,220.0,264,180,2923,2876,acnj,220,USA,Atlantic City
SSC-acnj,Atlantic City,United States,39.36,-74.42,"acnj, acnj2",acnj,220.0,264,180,2923,2876,acnj2,220,USA,Atlantic City
SSC-adak,Adak,United States,51.86,-176.63,"adak, adak2",adak,302.0,40,487,2667,2666,adak,302,USA,Adak
SSC-adak,Adak,United States,51.86,-176.63,"adak, adak2",adak,302.0,40,487,2667,2666,adak2,302,USA,Adak
SSC-aden,Aden,Yemen,12.79,44.97,aden,aden,3.0,172,44,,2790,aden,3,Yemen,Aden
SSC-agal,Agalega,Mauritius,-10.35,56.59,agal,agal,,,,,,agal,,Mauritius,Agalega
SSC-aigi,Aigio,Greece,38.26,22.08,aigi,,,,,,,aigi,,Greece,Aigio
SSC-ajac,Ajaccio,France,41.92,8.76,"ajac, ajac2",ajac,,,1929,"3197, 619",1719,ajac,,France,Ajaccio
SSC-alak,Alitak,United States,56.9,-154.25,"alak, alak2",alak,,,,,,alak,,USA,Alitak
SSC-alak,Alitak,United States,56.9,-154.25,"alak, alak2",alak,,,,,,alak2,,USA,Alitak
SSC-alam,Alameda,United States,37.77,-122.3,"alam, alam2",alam,,,437,3319,3318,alam,,USA,Alameda
SSC-alam,Alameda,United States,37.77,-122.3,"alam, alam2",alam,,,437,3319,3318,alam2,,USA,Alameda
SSC-albo,Alboran Island,Spain,35.94,-3.03,albo,,,,,4151,4150,albo,,Spain,Alboran Island
SSC-albu,Albufeira,Portugal,37.08,-8.26,albu,albu,,,,,,albu,,Portugal,Albufeira
SSC-alcu,Alcudia,Spain,39.87,3.12,alcu,,,,2063,,,alcu,,Spain,Alcudia
SSC-aler,Alert,Canada,82.49,-62.32,aler,,333.0,836,1110,625,2108,aler,333,Canada,Alert
SSC-alex,Alexandria,Egypt,31.21,29.92,"alex, alex1",alex,349.0,807,"2088, 503","2006, 933","2206, 3010",alex,349,Egypt,Alexandria
SSC-alex,Alexandria,Egypt,31.21,29.92,"alex, alex1",alex,349.0,807,"2088, 503","2006, 933","2206, 3010",alex1,,Egypt,Alexandria
SSC-alge,Algeciras,Spain,36.18,-5.4,alge,alge,,,,3373,3464,alge,,Spain,Algeciras
SSC-alme,Almeria,Spain,36.83,-2.48,"alme, alme2",,,,"1455, 2056","3461, 624","2193, 2395",alme,,Spain,Almeria
SSC-alva,Alvarado,Mexico,18.77,-95.77,"alva, alva2",,,,768,,,alva,,Mexico,Alvarado
SSC-amal,Charlotte-Amalie,United States,18.33,-64.92,"amal, amal2",amal,,255,1393,"1899, 2664",2663,amal,,USA,Charlotte-Amalie
SSC-amal,Charlotte-Amalie,United States,18.33,-64.92,"amal, amal2",amal,,255,1393,"1899, 2664",2663,amal2,,USA,Charlotte-Amalie
SSC-amas,Amasra,Turkey,41.74,32.39,amas,,,,1919,,,amas,,Turkey,Amasra
SSC-ambo,Ambon,Indonesia,-3.68,128.18,ambon,ambo,68.0,133,"1815, 347",3216,2821,ambon,68,Indonesia,Ambon
SSC-anca,Ancona,Italy,43.62,13.51,AN15,,,,"101, 2098",3153,"3151, 3152",AN15,,Italy,Ancona
SSC-anch,Anchorage,United States,61.24,-149.89,"anch, anch2",anch,,,1067,1897,2104,anch,,USA,Anchorage
SSC-anch,Anchorage,United States,61.24,-149.89,"anch, anch2",anch,,,1067,1897,2104,anch2,,USA,Anchorage
SSC-ancu,Ancud,Chile,-41.87,-73.83,"ancu, ancu2",ancu,,,,,,ancu,,Chile,Ancud
SSC-ancu,Ancud,Chile,-41.87,-73.83,"ancu, ancu2",ancu,,,,,,ancu2,,Chile,Ancud
SSC-ande,Andenes,Norway,69.32,16.15,ande,,322.0,800,425,3573,2263,ande,322,Norway,Andenes
SSC-anta,Antalya,Turkey,36.88,30.7,anta,,,,"1681, 400",2019,2158,anta,,Turkey,Antalya
SSC-anto,Antofagasta,Chile,-23.65,-70.4,"anto, anto2",anto,174.0,80,"510, 511",2608,"2607, 2753",anto,174,Chile,Antofagasta
SSC-anto,Antofagasta,Chile,-23.65,-70.4,"anto, anto2",anto,174.0,80,"510, 511",2608,"2607, 2753",anto2,174,Chile,Antofagasta
SSC-anzio,Anzio,Italy,41.45,12.63,AZ42,,,,2136,,,AZ42,,Italy,Anzio
SSC-apfl,Apalachicola,United States,29.73,-84.98,"apfl, apfl2",apfl,,760,1193,,,apfl,,USA,Apalachicola
SSC-apfl,Apalachicola,United States,29.73,-84.98,"apfl, apfl2",apfl,,760,1193,,,apfl2,,USA,Apalachicola
SSC-arac,Arecibo,Puerto Rico,18.48,-66.7,"arac, aracS",arec,,735,2213,,,arac,,Puerto Rico,Arecibo
SSC-arca,Arcachon Eyrac,France,44.67,-1.16,"arca, arca2",,,,1918,3191,1724,arca,,France,Arcachon Eyrac
SSC-aren,Arena Cove,United States,38.91,-123.71,"aren, aren2",aren,,573,2125,3026,3025,aren,,USA,Arena Cove
SSC-aren,Arena Cove,United States,38.91,-123.71,"aren, aren2",aren,,573,2125,3026,3025,aren2,,USA,Arena Cove
SSC-aric,Arica,Chile,-18.48,-70.32,"aric, aric2",aric,,83,"1554, 618","2610, 3159",2609,aric,,Chile,Arica
SSC-aric,Arica,Chile,-18.48,-70.32,"aric, aric2",aric,,83,"1554, 618","2610, 3159",2609,aric2,,Chile,Arica
SSC-arko,Arko,Sweden,58.48,16.96,arko,,,,,,,arko,,Sweden,Arko
SSC-aron,"Arona, Tenerife",Spain,28.05,-16.72,tn031,ten2,,,,,,tn031,,Spain,"Arona, Tenerife"
SSC-arrc,Arraial do Cabo,Brazil,-22.97,-42.01,arrc,,,,,,,arrc,,Brasil,Arraial do Cabo
SSC-arre,Arrecife,Spain,28.97,-13.53,arre,,,205,"1362, 1710, 2066, 593, 943",3133,3132,arre,,Spain,Arrecife
SSC-arri,Arrifana,Portugal,37.3,-8.87,arri,,,,,,,arri,,Portugal,Arrifana
SSC-ascen,Ascension,United Kingdom,-7.92,-14.42,ascen,ascn,263.0,291,1831,630,1971,ascen,263,UK,Ascension
